NOTE:
FFi=-1 means that there is no Flop input to the target net n
FFo=-1 means that there is no Flop output from the target net n
PI=-1 means that there is no primary input reachable to target net n


LGFi_avg: 1.9382303839732888
FFi_avg: 3.571285475792988
PI_avg: 11.142904841402338
FFo_avg: 4.216026711185309
PO_avg: 10.85575959933222


Net	LGFi	FFi	FFo	PI	PO
n3065gat	0	-1	4	0	14
n3066gat	0	-1	4	0	13
n3067gat	0	-1	4	0	14
n3068gat	0	-1	4	0	14
n3069gat	0	-1	4	0	14
n3070gat	0	-1	4	0	14
n3071gat	0	-1	4	0	14
n3072gat	0	-1	4	0	14
n3073gat	0	-1	4	0	15
n3074gat	0	-1	5	0	17
n3075gat	0	-1	5	0	17
n3076gat	0	-1	5	0	17
n3077gat	0	-1	5	0	17
n3078gat	0	-1	5	0	17
n3079gat	0	-1	5	0	17
n3080gat	0	-1	5	0	17
n3081gat	0	-1	5	0	16
n3082gat	0	-1	5	0	15
n3083gat	0	-1	11	0	14
n3084gat	0	-1	11	0	14
n3085gat	0	-1	10	0	13
n3086gat	0	-1	9	0	12
n3087gat	0	-1	9	0	12
n3088gat	0	-1	9	0	12
n3089gat	0	-1	9	0	15
n3090gat	0	-1	9	0	20
n3091gat	0	-1	6	0	8
n3092gat	0	-1	6	0	8
n3093gat	0	-1	7	0	15
n3094gat	0	-1	7	0	9
n3095gat	0	-1	7	0	15
n3097gat	0	-1	-1	0	15
n3098gat	0	-1	-1	0	14
n3099gat	0	-1	5	0	18
n3100gat	0	-1	6	0	13
n673gat	2	0	7	6	10
n2897gat	4	-1	0	5	11
n398gat	1	0	8	5	13
n2782gat	1	-1	0	4	12
n402gat	1	0	9	5	13
n2790gat	1	-1	0	4	12
n919gat	1	0	9	5	13
n2670gat	1	-1	0	4	12
n846gat	1	0	9	5	13
n2793gat	1	-1	0	4	12
n394gat	1	0	4	5	11
n703gat	1	0	4	5	11
n722gat	1	0	4	5	11
n726gat	1	0	4	5	11
n2510gat	4	0	5	10	12
n748gat	12	-1	0	9	6
n271gat	1	0	3	5	11
n2732gat	1	-1	0	4	12
n160gat	1	0	9	5	11
